,Advanced Economies,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),High Income Countries,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Middle-Income Countries (MIC),EMDE Middle East & N. Africa,EMDE South Asia,EMDE Sub-Saharan Africa,World (WBG members)
,,,,,,,,,,,,
1995,2.579722,6.932931,46.81583,14.70701,3.943485,13.03496,NA,13.03496,5.63278,11.32327,8.671938,8.802161
1996,2.894347,7.980729,31.18767,11.48403,3.067377,12.43043,NA,11.07497,5.198868,6.372705,8.826528,7.355953
1997,2.152654,5.576047,17.55352,8.587475,2.338709,8.53267,NA,8.53267,3.673005,8.280013,10.72019,5.83018
1998,1.898835,7.958436,14.11466,7.735358,2.247948,7.670368,-1.108623,7.702863,3.119611,7.258634,6.882603,5.383197
1999,1.740275,2.713807,9.997905,5.752463,2.158598,5.654575,5.752463,5.918406,2.690787,5.196914,5.792857,2.907296
2000,2.664163,1.693443,10.30493,6.265332,3.005488,7.056858,3.378306,6.56521,2.665245,3.371231,7.752955,3.731401
2001,2.599534,3.501782,8.645874,5.700973,2.824509,6.754596,1.93951,6.068176,1.790183,2.760128,6.125059,3.780154
2002,2.007805,1.833837,5.574146,5.24913,2.151917,6.34964,-0.302284,5.574146,2.260945,3.695664,8.027282,3.102722
2003,2.052283,2.238577,4.751626,4.751626,2.073735,7.120096,8.716368,5.602379,2.540792,4.307239,9.179213,3.041003
2004,2.110186,5.035407,6.733585,5.779196,2.142745,4.694407,3.677143,5.980605,2.815109,7.426813,6.983986,3.589279
2005,2.279802,6.912108,7.089071,5.343087,2.455843,5.0484,8.601203,6.756964,2.724043,7.028288,8.627859,3.44989
2006,2.319222,5.809364,6.777606,6.075175,2.482381,4.302636,7.21437,6.075175,3.844218,6.767402,7.747563,3.985604
2007,2.316412,4.817871,8.355426,6.247928,2.502973,6.177663,6.090198,6.44647,4.716543,7.595904,6.848994,4.586802
2008,4.076208,8.197329,10.46146,10.03045,4.349254,8.723466,13.27334,10.11557,6.127493,8.925648,12.03016,8.197329
2009,0.567721,1.915932,3.687007,4.2209,1.249431,4.193415,8.379279,4.524974,3.121729,9.743284,9.433341,2.670509
2010,1.63657,3.876225,6.126992,4.497209,1.808575,4.41386,8.229892,4.787609,3.732611,10.35796,4.89714,3.535432
2011,3.19579,5.499924,7.37903,6.014589,3.335289,6.014589,14.90243,6.5902,3.477906,10.25896,8.493353,4.4719
2012,2.442926,3.266501,3.537347,4.373077,2.659369,4.502592,8.31316,4.516681,2.917748,9.392919,6.714038,3.338442
2013,1.405912,2.923099,3.389279,4.726386,1.465972,4.57951,4.868921,5.099219,3.414698,7.689295,5.7359,2.783064
2014,0.507784,3.717668,1.857707,3.858821,0.91267,4.616134,3.425968,4.105811,2.494536,6.981817,5.371818,2.554965
2015,0.121137,1.334017,2.793114,3.190606,0.158611,3.608325,3.624581,3.317564,1.709563,4.921525,3.694124,1.396855
2016,0.318349,2.097035,0.762147,2.803543,0.611837,3.303402,11.79876,2.922733,1.843601,4.947881,6.595316,1.603912
2017,1.431657,3.130188,2.755023,3.398303,1.466774,3.362657,10.66005,3.71962,1.781898,5.030687,6.132666,2.353696
2018,1.702693,2.874574,2.606915,3.195764,1.805636,3.40164,2.860723,3.550506,2.760246,5.318124,4.515475,2.458059
2019,1.431347,2.58856,2.912605,2.790964,1.431347,2.504378,3.909393,2.86062,0.878387,5.581117,5.181096,2.133037
2020,0.420746,2.440571,3.080317,2.794921,0.49863,2.78476,1.836791,3.07294,0.473059,6.62382,3.2142,1.575666
2021,2.438116,2.153336,5.134107,4.503653,2.499746,4.375485,4.413106,4.705327,1.986163,5.546876,6.104751,3.355123
2022,7.920065,4.851727,13.86913,8.947051,7.920065,8.54181,8.785362,8.947051,4.912921,7.695022,10.38083,8.307313
2023,4.876724,2.866902,9.086492,6.012704,4.876724,5.152254,6.172694,6.090914,4.448714,9.48964,6.984104,5.86206
2024,2.273439,2.671452,3.402362,3.541857,2.272608,3.7203,3.085445,4.215596,1.551963,9.898206,4.295289,2.847208
